Time (sec),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
8645.66796,2675.3759173271,1,2782.199073003443,6612.896266884289,5441.380552478989,-9880.0,7990.0,8070.0
8705.66796,2675.3759173271,1,2755.6500571496586,6614.531274073095,5452.890960044036,-10300.0,7990.0,8130.0
8765.66796,2675.3759173271,1,2729.0947321338226,6616.039659631794,5464.404102965716,-10700.0,7980.0,8180.0
8825.66796,2675.3759173271,1,2702.5336063031477,6617.421394685441,5475.91976084853,-11000.0,7970.0,8220.0
8885.66796,2675.3759173271,1,2675.967188115892,6618.676452783553,5487.437713248834,-11400.0,7960.0,8270.0
8945.66796,2675.3759173271,1,2649.3959861316266,6619.804809900616,5498.957739679061,-11800.0,7950.0,8310.0
9005.66796,2675.3759173271,1,2622.820509001494,6620.806444436547,5510.4796196119405,-12200.0,7930.0,8350.0
9065.66796,2675.3759173271,1,2596.241265458481,6621.681337217113,5522.003132484721,-12500.0,7910.0,8380.0
9125.66796,2675.3759173271,1,2569.6587643076705,6622.429471494282,5533.528057703392,-12900.0,7890.0,8420.0
9185.66796,2675.3759173271,1,2543.073514416509,6623.05083294656,5545.054174646905,-13200.0,7860.0,8450.0
9245.66796,2675.3759173271,1,2516.48602470506,6623.545409679257,5556.5812626714005,-13600.0,7840.0,8480.0
9305.66796,2675.3759173271,1,2489.8968041362627,6623.913192224716,5568.109101114428,-14000.0,7810.0,8510.0
9365.66796,2675.3759173271,1,2463.306361706192,6624.154173542494,5579.637469299172,-14300.0,7780.0,8530.0
9425.66796,2675.3759173271,1,2436.715206434313,6624.268349019501,5591.166146538678,-14600.0,7750.0,8550.0
9485.66796,2675.3759173271,1,2410.123847353735,6624.2557164700775,5602.694912140072,-15000.0,7710.0,8570.0
9545.66796,2675.3759173271,1,2383.5327935014707,6624.116276136052,5614.223545408791,-15300.0,7680.0,8590.0
9605.66796,2675.3759173271,1,2356.942553908687,6623.850030686719,5625.751825652806,-15700.0,7640.0,8610.0
9665.66796,2675.3759173271,1,2330.353637590966,6623.456985218805,5637.2795321868425,-16000.0,7600.0,8630.0
9725.66796,2675.3759173271,1,2303.7665535385604,6622.937147256357,5648.806444336611,-16300.0,7560.0,8640.0
9785.66796,2675.3759173271,1,2277.181810706641,6622.290526750607,5660.332341443029,-16700.0,7520.0,8650.0
9845.66796,2675.3759173271,1,2250.599918005568,6621.517136079779,5671.857002866443,-17000.0,7480.0,8670.0
9905.66796,2675.3759173271,1,2224.0213842911376,6620.616990048849,5683.380207990856,-17300.0,7440.0,8680.0
9965.66796,2675.3759173271,1,2197.446718354845,6619.590105889267,5694.901736228148,-17600.0,7390.0,8680.0
10025.66796,2675.3759173271,1,2170.876428914149,6618.436503258623,5706.421367022301,-17900.0,7350.0,8690.0
