Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
3386.178301,WPSA,259.1695115574585,-233211.4948,-60056.91554,-17162.78275
3387.178301,WPSA,259.0268016281023,-233277.8506,-60087.95218,-17179.40741
3388.178301,WPSA,258.8840294971856,-233344.1829,-60118.98253,-17196.03023
3389.178301,WPSA,258.7411953906982,-233410.4916,-60150.00657,-17212.65122
3390.178301,WPSA,258.59829910879483,-233476.7768,-60181.02431,-17229.27038
3391.178301,WPSA,258.45534088379134,-233543.0384,-60212.03575,-17245.88769
3392.178301,WPSA,258.31232052224425,-233609.2765,-60243.0409,-17262.50317
3393.178301,WPSA,258.1692380598968,-233675.4911,-60274.03975,-17279.11682
3394.178301,WPSA,258.0260935315085,-233741.6822,-60305.03231,-17295.72862
3395.178301,WPSA,257.8828869733491,-233807.8498,-60336.01858,-17312.33859
3396.178301,WPSA,257.73961822437434,-233873.994,-60366.99856,-17328.94673
3397.178301,WPSA,257.59628754269187,-233940.1147,-60397.97226,-17345.55302
3398.178301,WPSA,257.4528947734983,-234006.212,-60428.93968,-17362.15748
3399.178301,WPSA,257.3094399814793,-234072.2859,-60459.90082,-17378.7601
3400.178301,WPSA,257.16592344611746,-234138.3363,-60490.85567,-17395.36088
3401.178301,WPSA,257.0223448139229,-234204.3634,-60521.80425,-17411.95983
3402.178301,WPSA,256.87870437185336,-234270.3671,-60552.74656,-17428.55694
3403.178301,WPSA,256.73500199934796,-234336.3475,-60583.6826,-17445.1522
3404.178301,WPSA,256.5912379918252,-234402.3045,-60614.61236,-17461.74563
3405.178301,WPSA,256.44741222631836,-234468.2382,-60645.53586,-17478.33723
3406.178301,WPSA,256.303525011973,-234534.1485,-60676.4531,-17494.92698
3407.178301,WPSA,256.1595760449057,-234600.0356,-60707.36407,-17511.51489
3408.178301,WPSA,256.0155656323915,-234665.8994,-60738.26878,-17528.10097
3409.178301,WPSA,255.8714938933601,-234731.7399,-60769.16723,-17544.6852
3410.178301,WPSA,255.7273607325128,-234797.5572,-60800.05943,-17561.2676
3411.178301,WPSA,255.5831664893678,-234863.3512,-60830.94537,-17577.84815
3412.178301,WPSA,255.43891107905498,-234929.122,-60861.82506,-17594.42687
3413.178301,WPSA,255.29459464116275,-234994.8696,-60892.6985,-17611.00374
3414.178301,WPSA,255.15021751526976,-235060.5939,-60923.56569,-17627.57878
3415.178301,WPSA,255.0057794372176,-235126.2951,-60954.42664,-17644.15197
3416.178301,WPSA,254.86128055823852,-235191.9732,-60985.28134,-17660.72333
3417.178301,WPSA,254.71672144022773,-235257.628,-61016.1298,-17677.29284
3418.178301,WPSA,254.5721016223789,-235323.2598,-61046.97203,-17693.86052
3419.178301,WPSA,254.42742169214074,-235388.8684,-61077.80801,-17710.42635
3420.178301,WPSA,254.282681597958,-235454.4539,-61108.63777,-17726.99034
3421.178301,WPSA,254.1378815254601,-235520.0163,-61139.46129,-17743.55249
3422.178301,WPSA,253.9930216492942,-235585.5556,-61170.27858,-17760.1128
3423.178301,WPSA,253.8481019516459,-235651.0719,-61201.08964,-17776.67127
3424.178301,WPSA,253.70312282503994,-235716.5651,-61231.89447,-17793.2279
3425.178301,WPSA,253.55808445565336,-235782.0352,-61262.69309,-17809.78268
3426.178301,WPSA,253.41298664679047,-235847.4824,-61293.48548,-17826.33562
3427.178301,WPSA,253.2678300020065,-235912.9065,-61324.27165,-17842.88672
3428.178301,WPSA,253.12261452831393,-235978.3076,-61355.0516,-17859.43598
3429.178301,WPSA,252.97734023291505,-236043.6858,-61385.82534,-17875.9834
3430.178301,WPSA,252.83200774007545,-236109.0409,-61416.59287,-17892.52897
