Antenna,Time (sec),X,Y,Z
DSS 24,11978.96796,1443.2453538355448,-4220.083985775094,-3006.186106675394
DSS 24,12038.96796,1460.1635616098729,-4209.018196025533,-3013.521047745344
DSS 24,12098.96796,1477.0371869597288,-4197.871833258316,-3020.8366599678993
DSS 24,12158.96796,1493.8659068741745,-4186.64511084769,-3028.132803300673
DSS 24,12218.96796,1510.649399201894,-4175.338243706221,-3035.4093380739714
DSS 24,12278.96796,1527.3873426573637,-4163.951448280682,-3042.666124993465
DSS 24,12338.96796,1544.0794168269958,-4152.48494254791,-3049.9030251428576
DSS 24,12398.96796,1560.725302175278,-4140.938946010629,-3057.119899986543
DSS 24,12458.96796,1577.3246800508891,-4129.313679693255,-3064.31661137226
DSS 24,12518.96796,1593.8772326927951,-4117.60936613766,-3071.4930215337345
DSS 24,12578.96796,1610.3826432363394,-4105.826229398913,-3078.6489930933185
DSS 24,12638.96796,1626.840595719299,-4093.964495040991,-3085.7843890646177
DSS 24,12698.96796,1643.2507750879404,-4082.024390132463,-3092.899072855116
DSS 24,12758.96796,1659.6128672030518,-4070.006143242136,-3099.9929082687904
DSS 24,12818.96796,1675.9265588459466,-4057.909984434693,-3107.065759508716
DSS 24,12878.96796,1692.1915377244713,-4045.7361452662735,-3114.117491179667
DSS 24,12938.96796,1708.4074924789766,-4033.4848587800516,-3121.1479682907093
DSS 24,12998.96796,1724.5741126882772,-4021.156359501773,-3128.1570562577817
DSS 24,13058.96796,1740.6910888756001,-4008.7508834352593,-3135.1446209062774
DSS 24,13118.96796,1756.7581125145039,-3996.2686680578977,-3142.1105284736072
DSS 24,13178.96796,1772.774876034785,-3983.709952316093,-3149.0546456117627
DSS 24,13238.96796,1788.741072828368,-3971.07497662069,-3155.9768393898685
DSS 24,13298.96796,1804.656397255173,-3958.3639828423757,-3162.876977296727
DSS 24,13358.96796,1820.520544648968,-3945.5772143070467,-3169.7549272433553
DSS 24,13418.96796,1836.3332113232013,-3932.71491579115,-3176.610557565514
DSS 24,13478.96796,1852.0940945768102,-3919.777333517004,-3183.443737026225
DSS 24,13538.96796,1867.8028927000219,-3906.764715148074,-3190.254334818287
DSS 24,13598.96796,1883.4593049801279,-3893.6773097842424,-3197.042220566781
DSS 24,13658.96796,1899.0630317072355,-3880.515367957033,-3203.807264331559
DSS 24,13718.96796,1914.6137741800135,-3867.2791416248174,-3210.5493366097394
DSS 24,13778.96796,1930.1112347114008,-3853.9688841679917,-3217.2683083381808
DSS 24,13838.96796,1945.5551166343125,-3840.584850384126,-3223.9640508959537
DSS 24,13898.96796,1960.9451243073163,-3827.127296483086,-3230.6364361068063
DSS 24,13958.96796,1976.28096312029,-3813.5964800821316,-3237.2853362416126
DSS 24,14018.96796,1991.5623395000653,-3799.992660200981,-3243.910624020822
DSS 24,14078.96796,2006.7889609160443,-3786.316097256854,-3250.512172616892
DSS 24,14138.96796,2021.9605358858007,-3772.5670530594875,-3257.089855656721
DSS 24,14198.96796,2037.0767739806583,-3758.7457908061256,-3263.64354722406
DSS 24,14258.96796,2052.1373858312545,-3744.8525750764747,-3270.173121861933
DSS 24,14318.96796,2067.1420831330756,-3730.887671827645,-3276.678454575029
DSS 24,14378.96796,2082.090578651975,-3716.8513483890597,-3283.1594208321003
DSS 24,14438.96796,2096.9825862296784,-3702.743873457329,-3289.6158965683453
DSS 24,14498.96796,2111.817820789255,-3688.565517091118,-3296.047758187783
DSS 24,14558.96796,2126.5959983405746,-3674.3165507059703,-3302.4548825656184
DSS 24,14618.96796,2141.3168359857505,-3659.99724706911,-3308.8371470506017
DSS 24,14678.96796,2155.980051924548,-3645.6078802942284,-3315.194429467374
DSS 24,14738.96796,2170.5853654597827,-3631.1487258362276,-3321.5266081188056
DSS 24,14798.96796,2185.132497002694,-3616.620060485955,-3327.8335617883295
DSS 24,14858.96796,2199.6211680782935,-3602.022162364899,-3334.1151697422565
DSS 24,14918.96796,2214.0511013307014,-3587.3553109198697,-3340.3713117320913
DSS 24,14978.96796,2228.422020528451,-3572.6197869176444,-3346.601867996831
DSS 24,15038.96796,2242.7336505697804,-3557.815872439598,-3352.806719265259
DSS 24,15098.96796,2256.9857174878935,-3542.9438508762996,-3358.9857467582287
DSS 24,15158.96796,2271.1779484562126,-3528.0040069220886,-3365.1388321909362
DSS 24,15218.96796,2285.3100717935936,-3512.996626569625,-3371.2658577751854
DSS 24,15278.96796,2299.3818169695296,-3497.9219971044154,-3377.366706221642
DSS 24,15338.96796,2313.3929146093305,-3482.7804070993116,-3383.4412607420804
DSS 24,15398.967960000002,2327.3430964992813,-3467.5721464089875,-3389.489405051617
DSS 24,15458.967960000002,2341.232095591768,-3452.297506164392,-3395.5110233709383
DSS 24,15518.967960000002,2355.0596460104002,-3436.956778767173,-3401.506000428516
DSS 24,15578.967960000002,2368.8254830550954,-3421.550257884083,-3407.4742214628145
DSS 24,15638.967960000002,2382.5293432071485,-3406.078238441352,-3413.4155722244877
DSS 24,15698.967960000002,2396.1709641342727,-3390.5410166190495,-3419.3299389785643
DSS 24,15758.967960000002,2409.750084695623,-3374.938889845409,-3425.2172085066277
DSS 24,15818.967960000002,2423.2664449467966,-3359.2721567911367,-3431.077268108982
DSS 24,15878.967960000002,2436.7197861448103,-3343.5411173636935,-3436.910005606809
DSS 24,15938.967960000002,2450.109850753047,-3327.7460727015527,-3442.7153093443167
DSS 24,15998.967960000002,2463.4363824461925,-3311.887325168439,-3448.4930681908754
DSS 24,16058.967960000002,2476.699126115142,-3295.9651783475338,-3454.243171543147
DSS 24,16118.967960000002,2489.897827871877,-3279.9799370356723,-3459.9655093272004
DSS 24,16178.967960000002,2503.0322350543333,-3263.9319072375024,-3465.659972000618
DSS 24,16238.967960000002,2516.102096231234,-3247.8213961596275,-3471.3264505545976
DSS 24,16298.967960000002,2529.107161206902,-3231.6487122047274,-3476.964836516031
DSS 24,16358.967960000002,2542.04718102605,-3215.414164965657,-3482.5750219495885
DSS 24,16418.96796,2554.9219079785494,-3199.1180652195126,-3488.156899459781
DSS 24,16478.96796,2567.7310956041665,-3182.760724921689,-3493.7103621930146
DSS 24,16538.96796,2580.474498697287,-3166.3424571999067,-3499.2353038396404
DSS 24,16598.96796,2593.1518733116027,-3149.863576348215,-3504.731618635986
DSS 24,16658.96796,2605.762976764788,-3133.324397820977,-3510.199201366381
DSS 24,16718.96796,2618.307567643141,-3116.7252382268334,-3515.6379473651723
DSS 24,16778.96796,2630.785405806208,-3100.066415322637,-3521.047752518727
DSS 24,16838.96796,2643.1962523913776,-3083.3482480073726,-3526.428513267424
DSS 24,16898.96796,2655.5398698184563,-3066.5710563160546,-3531.7801266076394
DSS 24,16958.96796,2667.8160217942122,-3049.735161413594,-3537.1024900937146
DSS 24,17018.96796,2680.024473316906,-3032.8408855886564,-3542.395501839922
DSS 24,17078.567658,2692.084218409724,-3016.001844795019,-3547.624041455606
DSS 24,17138.567658,2704.1570247635723,-2998.992162554756,-3552.8582438212234
DSS 24,17198.567658,2716.161434990418,-2981.925070762619,-3558.0627928353942
DSS 24,17258.567658,2728.097219290454,-2964.8008961330643,-3563.2375888677043
DSS 24,17318.567658,2739.96414917758,-2947.6199664732812,-3568.382532857302
DSS 24,17378.567658,2751.7619974837703,-2930.3826106769166,-3573.497526314791
DSS 24,17438.567658,2763.490538363426,-2913.089158717782,-3578.5824713241145
DSS 24,17498.567658,2775.1495472976944,-2895.7399416435346,-3583.6372705444337
DSS 24,17558.567658,2786.738801098772,-2878.3352915693376,-3588.6618272119895
DSS 24,17618.567658,2798.258077914171,-2860.8755416715085,-3593.6560451419527
DSS 24,17678.567658,2809.7071572309715,-2843.3610261811373,-3598.6198287302677
DSS 24,17738.567658,2821.08581988004,-2825.792080377687,-3603.5530829554828
DSS 24,17798.567658,2832.3938480402276,-2808.1690405825793,-3608.455713380566
DSS 24,17858.567658,2843.6310252425337,-2790.4922441527533,-3613.3276261547176
DSS 24,17918.567658,2854.797136374257,-2772.7620294742087,-3618.168728015163
DSS 24,17978.567658,2865.8919676831106,-2754.9787359555285,-3622.9789262889403
DSS 24,18038.567658,2876.9153067813113,-2737.1427040213816,-3627.758128894672
DSS 24,18098.567658,2887.86694264965,-2719.2542751060028,-3632.50624434433
DSS 24,18158.567658,2898.7466656415263,-2701.313791646664,-3637.2231817449856
DSS 24,18218.567658,2909.554267486966,-2683.3215970771116,-3641.90885080055
DSS 24,18278.567658,2920.2895412966063,-2665.278035820994,-3646.5631618135035
DSS 24,18338.567658,2930.952281565657,-2647.1834532852736,-3651.1860256866107
DSS 24,18398.567658,2941.542284177828,-2629.0381958536072,-3655.7773539246273
DSS 24,18458.567658,2952.059346409253,-2610.8426108797194,-3660.3370586359943
DSS 24,18518.567658,2962.50326693235,-2592.597046680752,-3664.8650525345206
DSS 24,18578.567658,2972.87384581969,-2574.301852530597,-3669.361248941053
DSS 24,18638.567658,2983.170884547815,-2555.957378653211,-3673.8255617851355
DSS 24,18698.567658,2993.3941860010486,-2537.563976215907,-3678.2579056066597
DSS 24,18758.567658,3003.543554475259,-2519.121997322638,-3682.6581955574957
DSS 24,18818.567658,3013.618795681608,-2500.631795007252,-3687.0263474031212
DSS 24,18878.567658,3023.619716750277,-2482.093723226735,-3691.362277524231
DSS 24,18938.567658,3033.5461262341496,-2463.508136854437,-3695.6659029183393
DSS 24,18998.567658,3043.397834112483,-2444.8753916732767,-3699.9371412013675
DSS 24,19058.567658,3053.1746517945426,-2426.195844368931,-3704.1759106092222
DSS 24,19118.567658,3062.8763921232144,-2407.469852523008,-3708.38212999936
DSS 24,19178.567658,3072.5028693785825,-2388.697774606202,-3712.5557188523403
DSS 24,19238.567658,3082.0538992814922,-2369.879969971429,-3716.696597273368
DSS 24,19298.567658,3091.5292989970717,-2351.01679884695,-3720.8046859938204
DSS 24,19358.567658,3100.928887138234,-2332.108622329475,-3724.8799063727693
DSS 24,19418.567658,3110.252483769151,-2313.1558023772486,-3728.9221803984806
DSS 24,19478.567658,3119.499910408693,-2294.1587018031223,-3732.9314306899123
DSS 24,19538.567658,3128.6709900338487,-2275.1176842676123,-3736.907580498192
DSS 24,19598.567658,3137.7655470831182,-2256.03311427193,-3740.850553708092
DSS 24,19658.567658,3146.7834074598645,-2236.9053571510126,-3744.7602748394775
DSS 24,19718.567658,3155.724398535653,-2217.734779066527,-3748.636669048761
DSS 24,19778.567658,3164.588349153555,-2198.521746999856,-3752.479662130328
DSS 24,19838.567658,3173.37508963142,-2179.2666287450793,-3756.2891805179606
DSS 24,19898.567658,3182.0844517651312,-2159.9697929019303,-3760.065151286245
DSS 24,19958.567658,3190.7162688318194,-2140.631608868741,-3763.807502151968
DSS 24,20018.567658,3199.2703755930565,-2121.252446835365,-3767.5161614755016
DSS 24,20078.567658,3207.7466082980204,-2101.8326777761013,-3771.1910582621713
DSS 24,20138.567658,3216.1448046866235,-2082.3726734425845,-3774.8321221636174
DSS 24,20198.567658,3224.4648039926306,-2062.8728063566705,-3778.4392834791433
DSS 24,20258.567658,3232.706446946723,-2043.3334498033064,-3782.0124731570454
DSS 24,20318.567658,3240.8695757795567,-2023.7549778233856,-3785.5516227959392
DSS 24,20378.567658,3248.9540342247765,-2004.1377652065826,-3789.0566646460657
DSS 24,20438.567658,3256.9596675220164,-1984.482187484185,-3792.52753161059
DSS 24,20498.567658,3264.8863224198503,-1964.7886209219018,-3795.964157246886
DSS 24,20558.567658,3272.7338471787307,-1945.0574425126574,-3799.366475767806
DSS 24,20618.567658,3280.5020915739024,-1925.28902996938,-3802.734422042943
DSS 24,20678.567658,3288.1909068982595,-1905.4837617177704,-3806.067931599876
DSS 24,20738.567658,3295.8001459652105,-1885.642016889052,-3809.3669406254025
DSS 24,20798.567658,3303.3296631114863,-1865.7641753127211,-3812.631385966765
DSS 24,20858.567658,3310.7793141999273,-1845.8506175092718,-3815.861205132854
DSS 24,20918.567658,3318.148956622249,-1825.9017246829098,-3819.056336295409
DSS 24,20978.567658,3325.4384493017687,-1805.9178787142591,-3822.216718290199
DSS 24,21038.567658,3332.6476526961023,-1785.8994621530514,-3825.342290618195
